slack,cap_sigma,stake,rule,weights,seed,supply_demand,role,agent,coord,factor,true_util,service,gain,rel_gain
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gas,0.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gas,0.5,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gas,0.8,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gas,1.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gas,2.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gas,4.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gasprice,0.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gasprice,0.5,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gasprice,0.8,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gasprice,1.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gasprice,2.0,0.0,0.0,10.075674582166593,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,gasprice,4.0,0.0,0.0,10.075674582166593,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,stake,0.25,0.0,0.0,22.776520918532725,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,stake,0.5,0.0,0.0,22.776520918532725,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,stake,0.8,0.0,0.0,22.776520918532725,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,stake,1.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,stake,2.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,0,stake,4.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gas,0.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gas,0.5,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gas,0.8,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gas,1.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gas,2.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gas,4.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gasprice,0.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gasprice,0.5,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gasprice,0.8,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gasprice,1.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gasprice,2.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,gasprice,4.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,stake,0.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,stake,0.5,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,stake,0.8,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,stake,1.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,stake,2.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,1,stake,4.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gas,0.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gas,0.5,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gas,0.8,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gas,1.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gas,2.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gas,4.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gasprice,0.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gasprice,0.5,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gasprice,0.8,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gasprice,1.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gasprice,2.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,gasprice,4.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,stake,0.25,0.0,0.0,22.915636366015107,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,stake,0.5,0.0,0.0,22.915636366015107,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,stake,0.8,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,stake,1.25,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,stake,2.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,2,stake,4.0,0.0,0.0,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gas,0.25,22.306990778252306,1.0,-18.057376589370644,-0.809494062595627
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gas,0.5,22.306990778252306,1.0,-12.231316196085713,-0.5483176246260144
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gas,0.8,22.306990778252306,1.0,-4.4613981556504605,-0.19999999999999996
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gas,1.25,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gas,2.0,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gas,4.0,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gasprice,0.25,22.306990778252306,1.0,-22.306990778252306,-1.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gasprice,0.5,22.306990778252306,1.0,-18.057376589370644,-0.809494062595627
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gasprice,0.8,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gasprice,1.25,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gasprice,2.0,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,gasprice,4.0,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,stake,0.25,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,stake,0.5,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,stake,0.8,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,stake,1.25,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,stake,2.0,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,app,3,stake,4.0,22.306990778252306,1.0,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gas,0.25,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gas,0.5,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gas,0.8,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gas,1.25,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gas,2.0,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gas,4.0,0.0,,2.1618694652978667,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gasprice,0.25,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gasprice,0.5,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gasprice,0.8,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gasprice,1.25,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gasprice,2.0,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,gasprice,4.0,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,stake,0.25,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,stake,0.5,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,stake,0.8,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,stake,1.25,0.0,,0.0,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,stake,2.0,0.0,,1.2213675789883638,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,0,stake,4.0,0.0,,1.731417192224705,
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gas,0.25,4.124480178486057,,-3.5840128121615904,-0.8689610949899504
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gas,0.5,4.124480178486057,,-3.5840128121615904,-0.8689610949899504
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gas,0.8,4.124480178486057,,-0.7348669793388587,-0.17817202351269415
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gas,1.25,4.124480178486057,,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gas,2.0,4.124480178486057,,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gas,4.0,4.124480178486057,,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gasprice,0.25,4.124480178486057,,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gasprice,0.5,4.124480178486057,,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gasprice,0.8,4.124480178486057,,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gasprice,1.25,4.124480178486057,,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gasprice,2.0,4.124480178486057,,0.0,0.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,gasprice,4.0,4.124480178486057,,-4.124480178486057,-1.0
0.5,0.0,pareto,min,sys,0,0.369485200595192,op,1,stake,0.25,4.124480178486057,,0.0,0.0
